iter	MultiClass
0	1.086915592
1	1.073157143
2	1.062064441
3	1.046763687
4	1.033839956
5	1.017093467
6	0.9953910074
7	0.9813449147
8	0.9646891001
9	0.9553600394
10	0.9434781554
11	0.9293853569
12	0.9177649492
13	0.9021027537
14	0.889876169
15	0.8791984474
16	0.8704234479
17	0.854734926
18	0.8460818169
19	0.8342013651
20	0.82437246
21	0.8152600536
22	0.8061561455
23	0.7956658887
24	0.7874755973
25	0.7782384109
26	0.7679248822
27	0.7572917903
28	0.7480939235
29	0.7368543064
30	0.7293159296
31	0.7205466977
32	0.7126224445
33	0.7047221787
34	0.6979158923
35	0.6900561018
36	0.6820416931
37	0.6766469858
38	0.6674413838
39	0.660146733
40	0.6515147975
41	0.6458647897
42	0.6389935907
43	0.6322852716
44	0.6253209016
45	0.6198281512
46	0.6135089114
47	0.6067546962
48	0.6017284426
49	0.594706258
50	0.5888029928
51	0.5832095581
52	0.5790503855
53	0.5716189398
54	0.5666955446
55	0.5625301042
56	0.5583739096
57	0.5525431068
58	0.5484942456
59	0.5444078217
60	0.5405516536
61	0.5369165315
62	0.5317799184
63	0.5252501716
64	0.5202451637
65	0.5170132016
66	0.512760599
67	0.5100225072
68	0.5051652456
69	0.5012802213
70	0.4974130833
71	0.4927144646
72	0.4876368195
73	0.4825268959
74	0.4782798288
75	0.4753882277
76	0.4726619409
77	0.4690953745
78	0.4657798575
79	0.4627157659
80	0.460194082
81	0.4571126372
82	0.452347219
83	0.4482612082
84	0.4449544304
85	0.4416973807
86	0.4376603215
87	0.4353221404
88	0.4296553991
89	0.4256111432
90	0.4226075768
91	0.4205417914
92	0.4167022154
93	0.4134939818
94	0.4108383407
95	0.4076507415
96	0.4047325309
97	0.4003713658
98	0.3981891195
99	0.3950520456
100	0.3926728918
101	0.3897787724
102	0.3875377172
103	0.3851916504
104	0.381814251
105	0.378828105
106	0.3762772414
107	0.3741867766
108	0.3714411706
109	0.3690039214
110	0.3666077734
111	0.3645448301
112	0.3626319138
113	0.3606575371
114	0.3574182471
115	0.3547768714
116	0.3526615877
117	0.3506832916
118	0.3486653178
119	0.346171616
120	0.3442908055
121	0.34257667
122	0.3408014731
123	0.3387359379
124	0.3361938702
125	0.3331406126
126	0.3305145228
127	0.3282942227
128	0.3265642722
129	0.3241760172
130	0.3223070169
131	0.3202441304
132	0.3175515462
133	0.315172501
134	0.3132911416
135	0.3119440216
136	0.3101947891
137	0.3086518731
138	0.3068744778
139	0.3044137437
140	0.3019432817
141	0.3000627867
142	0.2986069541
143	0.2968687107
144	0.2943800328
145	0.2928309899
146	0.2911526454
147	0.2894466935
148	0.2877179977
149	0.2858252909
150	0.2831618913
151	0.2811336626
152	0.2795210253
153	0.2774161851
154	0.2760144634
155	0.2737393212
156	0.2722739734
157	0.270225294
158	0.2676121052
159	0.2655305875
160	0.2624610065
161	0.2607688875
162	0.2590915294
163	0.2575667933
164	0.2559965875
165	0.2542612269
166	0.2525764307
167	0.2506526547
168	0.249528501
169	0.2468536401
170	0.2451312572
171	0.2437651653
172	0.2419787152
173	0.2403555146
174	0.238371664
175	0.2363267658
176	0.2346681126
177	0.2323596827
178	0.2311976241
179	0.2296511067
180	0.2277663494
181	0.2259470995
182	0.2246187015
183	0.2234328186
184	0.2223540425
185	0.2201263657
186	0.2185419481
187	0.2171916027
188	0.2157051082
189	0.2147681749
190	0.2134564106
191	0.2123058655
192	0.2111232202
193	0.2098671023
194	0.2086720702
195	0.2072557476
196	0.206023797
197	0.2046880337
198	0.203244899
199	0.2019388252
200	0.2004016352
201	0.1994338176
202	0.1976869832
203	0.1957192284
204	0.1942737435
205	0.1929414739
