iter	Passed	Remaining
0	48	24070
1	49	12413
2	51	8535
3	53	6592
4	54	5416
5	56	4644
6	57	4043
7	59	3632
8	60	3309
9	62	3046
10	63	2833
11	66	2717
12	68	2564
13	70	2431
14	71	2314
15	73	2213
16	74	2126
17	76	2047
18	78	1978
19	79	1913
20	81	1856
21	82	1802
22	84	1753
23	86	1709
24	87	1667
25	89	1632
26	91	1604
27	93	1577
28	95	1546
29	95	1497
30	97	1475
31	99	1449
32	100	1424
33	102	1402
34	103	1380
35	105	1359
36	107	1344
37	109	1328
38	111	1313
39	112	1296
40	114	1284
41	116	1270
42	117	1248
43	119	1234
44	120	1220
45	122	1206
46	123	1193
47	125	1181
48	127	1170
49	128	1153
50	129	1139
51	131	1131
52	132	1121
53	134	1111
54	136	1101
55	137	1092
56	139	1083
57	140	1074
58	142	1066
59	144	1057
60	145	1049
61	147	1044
62	149	1038
63	151	1030
64	153	1024
65	155	1019
66	156	1012
67	158	1005
68	159	999
69	161	992
70	163	985
71	164	979
72	166	973
73	167	966
74	169	961
75	171	955
76	172	950
77	174	944
78	176	938
79	177	933
80	179	928
81	181	922
82	182	917
83	184	912
84	185	907
85	187	902
86	189	897
87	190	893
88	192	888
89	194	883
90	195	880
91	197	877
92	199	874
93	201	869
94	202	865
95	204	861
96	206	857
97	207	853
98	209	849
99	211	845
100	212	840
101	213	831
102	214	827
103	216	823
104	217	819
105	219	815
106	221	811
107	222	808
108	224	804
109	225	801
110	227	797
111	229	794
112	230	790
113	232	787
114	234	783
115	235	780
116	237	776
117	238	773
118	240	770
119	242	766
120	243	763
121	246	762
122	248	760
123	249	757
124	251	754
125	253	752
126	255	749
127	257	746
128	258	744
129	260	741
130	262	739
131	264	737
132	266	734
133	267	730
134	269	728
135	270	724
136	272	721
137	274	718
138	275	715
139	277	713
140	279	711
141	281	708
142	282	705
143	284	702
144	285	700
145	287	697
146	289	694
147	290	691
148	292	689
149	294	687
150	296	685
151	298	682
152	299	679
153	301	677
154	302	674
155	304	671
156	306	668
157	307	666
158	309	663
159	311	661
160	313	659
161	314	656
162	315	652
163	317	651
164	319	648
165	321	646
166	322	643
167	324	640
168	325	638
169	327	635
170	329	633
171	330	630
172	332	628
173	333	625
174	336	624
175	337	622
176	339	619
177	341	617
178	342	614
179	344	612
180	346	609
181	347	607
182	349	604
183	351	603
184	353	601
185	354	598
186	356	596
187	357	594
188	359	591
189	361	589
190	362	587
191	364	584
192	366	582
193	368	580
194	369	578
195	371	576
196	373	574
197	375	572
198	377	570
199	379	569
200	381	566
201	382	564
202	384	562
203	385	559
204	387	557
205	389	555
